time	V(n001)
3.46000000e-02	-9.92114701e-01
3.48000000e-02	-9.98026728e-01
3.50000000e-02	-1.00000000e+00
3.52000000e-02	-9.98026728e-01
3.54000000e-02	-9.92114701e-01
3.56000000e-02	-9.82287251e-01
3.58000000e-02	-9.68583161e-01
3.60000000e-02	-9.51056516e-01
3.62000000e-02	-9.29776486e-01
3.64000000e-02	-9.04827052e-01
3.66000000e-02	-8.76306680e-01
3.68000000e-02	-8.44327926e-01
3.70000000e-02	-8.09016994e-01
3.72000000e-02	-7.70513243e-01
3.74000000e-02	-7.28968627e-01
3.76000000e-02	-6.84547106e-01
3.78000000e-02	-6.37423990e-01
3.80000000e-02	-5.87785252e-01
3.82000000e-02	-5.35826795e-01
3.84000000e-02	-4.81753674e-01
3.86000000e-02	-4.25779292e-01
3.88000000e-02	-3.68124553e-01
3.90000000e-02	-3.09016994e-01
3.92000000e-02	-2.48689887e-01
3.94000000e-02	-1.87381315e-01
3.96000000e-02	-1.25333234e-01
3.98000000e-02	-6.27905195e-02
4.00000000e-02	-1.51081037e-15
4.02000000e-02	4.18603464e-02
4.04000000e-02	8.35554890e-02
4.06000000e-02	1.24920876e-01
4.08000000e-02	1.65793258e-01
4.10000000e-02	2.06011330e-01
4.12000000e-02	2.45416368e-01
4.14000000e-02	2.83852861e-01
4.16000000e-02	3.21169116e-01
4.18000000e-02	3.57217863e-01
4.20000000e-02	3.91856835e-01
4.22000000e-02	4.24949326e-01
4.24000000e-02	4.56364737e-01
4.26000000e-02	4.85979085e-01
4.28000000e-02	5.13675495e-01
4.30000000e-02	5.39344663e-01
4.32000000e-02	5.62885284e-01
4.34000000e-02	5.84204453e-01
4.36000000e-02	6.03218035e-01
4.38000000e-02	6.19850991e-01
4.40000000e-02	6.34037678e-01
4.42000000e-02	6.45722107e-01
4.44000000e-02	6.54858167e-01
4.46000000e-02	6.61409801e-01
4.48000000e-02	6.65351152e-01
4.50000000e-02	6.66666667e-01
4.52000000e-02	6.65351152e-01
4.54000000e-02	6.61409801e-01
4.56000000e-02	6.54858167e-01
4.58000000e-02	6.45722107e-01
4.60000000e-02	6.34037678e-01
4.62000000e-02	6.19850991e-01
4.64000000e-02	6.03218035e-01
4.66000000e-02	5.84204453e-01
4.68000000e-02	5.62885284e-01
4.70000000e-02	5.39344663e-01
4.72000000e-02	5.13675495e-01
4.74000000e-02	4.85979085e-01
4.76000000e-02	4.56364737e-01
4.78000000e-02	4.24949326e-01
4.80000000e-02	3.91856835e-01
4.82000000e-02	3.57217863e-01
4.84000000e-02	3.21169116e-01
4.86000000e-02	2.83852861e-01
4.88000000e-02	2.45416368e-01
4.90000000e-02	2.06011330e-01
4.92000000e-02	1.65793258e-01
4.94000000e-02	1.24920876e-01
4.96000000e-02	8.35554890e-02
4.98000000e-02	4.18603464e-02
5.00000000e-02	4.08215600e-16
5.02000000e-02	-4.18603464e-02
5.04000000e-02	-8.35554890e-02
5.06000000e-02	-1.24920876e-01
5.08000000e-02	-1.65793258e-01
5.10000000e-02	-2.06011330e-01
